ld,wl,Throughput(ops/sec),RunTime(ms),ram,n,t,RunTime(s),dbs
True,c, 1284.2080930794025, 778690.0,2GB,3,3,778.69,1000
False,c, 502.2853985634638, 19909.0,2GB,1,4,19.909,800
True,a, 2892.781930526949, 172844.0,2GB,1,3,172.844,500
True,c, 1288.1451997269132, 776310.0,2GB,3,5,776.31,1000
False,a, 309.13812291331766, 32348.0,2GB,6,1,32.348,800
False,a, 628.3380458686773, 15915.0,2GB,3,3,15.915,800
False,a, 356.6206626011911, 28041.0,2GB,6,3,28.041,1000
False,f, 226.29042112647372, 44191.0,2GB,6,3,44.191,800
True,c, 2882.990930110534, 346862.0,2GB,1,4,346.862,1000
True,c, 1293.152498887889, 386652.0,2GB,3,5,386.652,500
True,a, 668.8996767542312, 1195994.0,2GB,6,3,1195.994,800
False,a, 284.06669886089253, 35203.0,2GB,6,2,35.203,800
False,f, 413.7360364087712, 24170.0,2GB,6,5,24.17,500
False,a, 393.49939007594537, 25413.0,2GB,3,4,25.413,1000
False,a, 454.6074464699732, 21997.0,2GB,3,2,21.997,1000
True,c, 2777.5752462494056, 288021.0,2GB,1,4,288.021,800
False,f, 420.7160587319618, 23769.0,2GB,3,1,23.769,500
False,a, 470.1236425179822, 21271.0,2GB,1,1,21.271,500
False,f, 451.9365481086455, 22127.0,2GB,1,5,22.127,1000
True,a, 2598.14492452389, 384890.0,2GB,1,1,384.89,1000
True,a, 1109.951828090661, 450470.0,2GB,3,1,450.47,500
True,f, 2818.1417877586964, 283875.0,2GB,1,2,283.875,800
False,a, 316.7965532535006, 31566.0,2GB,6,3,31.566,500
False,f, 695.3135864274788, 14382.0,2GB,1,1,14.382,500
True,f, 628.6825077893762, 1590628.0,2GB,6,5,1590.628,1000
True,a, 2794.6914835270404, 286257.0,2GB,1,5,286.257,800
False,a, 395.4601178471151, 25287.0,2GB,6,4,25.287,1000
True,f, 623.0219054501956, 1284064.0,2GB,6,2,1284.064,800
True,c, 1307.5014627672615, 611854.0,2GB,3,5,611.854,800
True,f, 1304.3353498357842, 766674.0,2GB,3,4,766.674,1000
False,f, 619.1567085629373, 16151.0,2GB,1,4,16.151,500
True,f, 1300.6133692649453, 768868.0,2GB,3,3,768.868,1000
False,f, 530.4476978569913, 18852.0,2GB,3,2,18.852,500
True,c, 2825.497287522604, 283136.0,2GB,1,1,283.136,800
True,f, 627.5346516790474, 1274830.0,2GB,6,5,1274.83,800
