ram,nm,nt,rf,lt,nn,t,wl,dbs,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[TOTAL_GCS_PS_Scavenge] Count,[TOTAL_GC_TIME_PS_Scavenge] Time(ms),[TOTAL_GC_TIME_%_PS_Scavenge] Time(%),[TOTAL_GCS_PS_MarkSweep] Count,[TOTAL_GC_TIME_PS_MarkSweep] Time(ms),[TOTAL_GC_TIME_%_PS_MarkSweep] Time(%),[TOTAL_GCs] Count,[TOTAL_GC_TIME] Time(ms),[TOTAL_GC_TIME_%] Time(%),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK,[SCAN] Operations,[SCAN] AverageLatency(us),[SCAN] MinLatency(us),[SCAN] MaxLatency(us),[SCAN] 95thPercentileLatency(us),[SCAN] 99thPercentileLatency(us),[SCAN] Return=OK,[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK
1GB,eth,rp,1,1,1,17,c,1000, 53124.0, 188.23883743694, 1.0, 7.0, 0.0131767186205858, 0.0, 0.0, 0.0, 1.0, 7.0, 0.0131767186205858, 10000.0, 5009.2611, 3424.0, 66047.0, 9879.0, 11655.0, 10000, 1.0, 2212864.0, 2211840.0, 2213887.0, 2213887.0, 2213887.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,29,e,1000, 535149.0, 18.686384539632886, 17.0, 67.0, 0.012519877641554034, 0.0, 0.0, 0.0, 17.0, 67.0, 0.012519877641554034,,,,,,,, 1.0, 2227200.0, 2226176.0, 2228223.0, 2228223.0, 2228223.0, 513.0, 10786.487329434698, 8076.0, 52415.0, 16703.0, 22799.0, 513, 9487.0, 55498.42437019079, 10024.0, 143871.0, 94399.0, 107775.0, 9487,,,,,,,
1GB,eth,rp,1,1,1,27,c,1000, 57597.0, 173.62015382745628, 1.0, 6.0, 0.010417209229647378, 0.0, 0.0, 0.0, 1.0, 6.0, 0.010417209229647378, 10000.0, 5464.5091, 3560.0, 57791.0, 9951.0, 11471.0, 10000, 1.0, 2210816.0, 2209792.0, 2211839.0, 2211839.0, 2211839.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,22,c,1000, 67853.0, 147.3774188318866, 1.0, 7.0, 0.01031641931823206, 0.0, 0.0, 0.0, 1.0, 7.0, 0.01031641931823206, 10000.0, 6484.2149, 3528.0, 53919.0, 10535.0, 14567.0, 10000, 1.0, 2227200.0, 2226176.0, 2228223.0, 2228223.0, 2228223.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,4,e,1000, 576434.0, 17.348039844977915, 17.0, 73.0, 0.01266406908683388, 0.0, 0.0, 0.0, 17.0, 73.0, 0.01266406908683388,,,,,,,, 1.0, 2227200.0, 2226176.0, 2228223.0, 2228223.0, 2228223.0, 445.0, 10783.298876404495, 7780.0, 33343.0, 16527.0, 22175.0, 445, 9555.0, 59494.34181057038, 11472.0, 154751.0, 96895.0, 110847.0, 9555,,,,,,,
1GB,eth,rp,1,1,1,21,a,1000, 46598.0, 214.6014850422765, 1.0, 9.0, 0.019314133653804882, 0.0, 0.0, 0.0, 1.0, 9.0, 0.019314133653804882, 5059.0, 4641.188574817157, 3618.0, 63135.0, 6239.0, 10935.0, 5059, 1.0, 2225152.0, 2224128.0, 2226175.0, 2226175.0, 2226175.0,,,,,,,,,,,,,,, 4941.0, 4061.0799433313096, 3064.0, 41535.0, 5455.0, 6939.0, 4941
1GB,eth,rp,1,1,1,14,a,1000, 54148.0, 184.6790278495974, 1.0, 7.0, 0.012927531949471818, 0.0, 0.0, 0.0, 1.0, 7.0, 0.012927531949471818, 5056.0, 5992.095530063291, 3556.0, 67199.0, 10319.0, 12407.0, 5056, 1.0, 2214912.0, 2213888.0, 2215935.0, 2215935.0, 2215935.0,,,,,,,,,,,,,,, 4944.0, 4208.635517799353, 3030.0, 21487.0, 5551.0, 8015.0, 4944
1GB,eth,rp,1,1,1,7,c,1000, 48650.0, 205.54984583761563, 1.0, 15.0, 0.030832476875642344, 0.0, 0.0, 0.0, 1.0, 15.0, 0.030832476875642344, 10000.0, 4562.6153, 3488.0, 58943.0, 5891.0, 7619.0, 10000, 1.0, 2214912.0, 2213888.0, 2215935.0, 2215935.0, 2215935.0,,,,,,,,,,,,,,,,,,,,,
1GB,eth,rp,1,1,1,18,e,1000, 545601.0, 18.328412154669806, 17.0, 83.0, 0.015212582088375937, 0.0, 0.0, 0.0, 17.0, 83.0, 0.015212582088375937,,,,,,,, 1.0, 2221056.0, 2220032.0, 2222079.0, 2222079.0, 2222079.0, 548.0, 10457.233576642337, 7452.0, 25583.0, 14975.0, 20287.0, 548, 9452.0, 56787.590351248415, 10312.0, 149375.0, 95231.0, 109247.0, 9452,,,,,,,
1GB,eth,rp,1,1,1,1,e,1000, 594549.0, 16.819471565842345, 17.0, 86.0, 0.014464745546624417, 0.0, 0.0, 0.0, 17.0, 86.0, 0.014464745546624417,,,,,,,, 1.0, 2210816.0, 2209792.0, 2211839.0, 2211839.0, 2211839.0, 490.0, 10647.069387755102, 7556.0, 31823.0, 17007.0, 22015.0, 490, 9510.0, 61647.066246056784, 12664.0, 147839.0, 97919.0, 111231.0, 9510,,,,,,,
