ram,nm,nt,rf,lt,nn,t,wl,dbs,[OVERALL] RunTime(ms),[OVERALL] Throughput(ops/sec),[TOTAL_GCS_PS_Scavenge] Count,[TOTAL_GC_TIME_PS_Scavenge] Time(ms),[TOTAL_GC_TIME_%_PS_Scavenge] Time(%),[TOTAL_GCS_PS_MarkSweep] Count,[TOTAL_GC_TIME_PS_MarkSweep] Time(ms),[TOTAL_GC_TIME_%_PS_MarkSweep] Time(%),[TOTAL_GCs] Count,[TOTAL_GC_TIME] Time(ms),[TOTAL_GC_TIME_%] Time(%),[READ] Operations,[READ] AverageLatency(us),[READ] MinLatency(us),[READ] MaxLatency(us),[READ] 95thPercentileLatency(us),[READ] 99thPercentileLatency(us),[READ] Return=OK,[CLEANUP] Operations,[CLEANUP] AverageLatency(us),[CLEANUP] MinLatency(us),[CLEANUP] MaxLatency(us),[CLEANUP] 95thPercentileLatency(us),[CLEANUP] 99thPercentileLatency(us),[UPDATE] Operations,[UPDATE] AverageLatency(us),[UPDATE] MinLatency(us),[UPDATE] MaxLatency(us),[UPDATE] 95thPercentileLatency(us),[UPDATE] 99thPercentileLatency(us),[UPDATE] Return=OK,[INSERT] Operations,[INSERT] AverageLatency(us),[INSERT] MinLatency(us),[INSERT] MaxLatency(us),[INSERT] 95thPercentileLatency(us),[INSERT] 99thPercentileLatency(us),[INSERT] Return=OK,[SCAN] Operations,[SCAN] AverageLatency(us),[SCAN] MinLatency(us),[SCAN] MaxLatency(us),[SCAN] 95thPercentileLatency(us),[SCAN] 99thPercentileLatency(us),[SCAN] Return=OK,[SCAN-FAILED] Operations,[SCAN-FAILED] AverageLatency(us),[SCAN-FAILED] MinLatency(us),[SCAN-FAILED] MaxLatency(us),[SCAN-FAILED] 95thPercentileLatency(us),[SCAN-FAILED] 99thPercentileLatency(us),[SCAN] Return=ERROR,[READ] Return=ERROR,[READ-FAILED] Operations,[READ-FAILED] AverageLatency(us),[READ-FAILED] MinLatency(us),[READ-FAILED] MaxLatency(us),[READ-FAILED] 95thPercentileLatency(us),[READ-FAILED] 99thPercentileLatency(us),[UPDATE-FAILED] Operations,[UPDATE-FAILED] AverageLatency(us),[UPDATE-FAILED] MinLatency(us),[UPDATE-FAILED] MaxLatency(us),[UPDATE-FAILED] 95thPercentileLatency(us),[UPDATE-FAILED] 99thPercentileLatency(us),[UPDATE] Return=ERROR,[INSERT] Return=ERROR,[INSERT-FAILED] Operations,[INSERT-FAILED] AverageLatency(us),[INSERT-FAILED] MinLatency(us),[INSERT-FAILED] MaxLatency(us),[INSERT-FAILED] 95thPercentileLatency(us),[INSERT-FAILED] 99thPercentileLatency(us)
1GB,wlan,rp,1,1,2,22,a,1000, 151046.0, 66.20499715318512, 1.0, 8.0, 0.00529639977225481, 0.0, 0.0, 0.0, 1.0, 8.0, 0.00529639977225481, 4954.0, 13729.961243439644, 4884.0, 626175.0, 34239.0, 45471.0, 4954, 1.0, 2210816.0, 2209792.0, 2211839.0, 2211839.0, 2211839.0, 5046.0, 15826.494252873563, 4468.0, 844287.0, 34399.0, 46815.0, 5046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GB,wlan,rp,1,1,2,1,c,1000, 121840.0, 82.07485226526592, 1.0, 7.0, 0.005745239658568615, 0.0, 0.0, 0.0, 1.0, 7.0, 0.005745239658568615, 10000.0, 11866.3956, 4500.0, 931327.0, 17199.0, 42463.0, 10000, 1.0, 2212864.0, 2211840.0, 2213887.0, 2213887.0, 2213887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GB,wlan,rp,1,1,2,7,c,1000, 163020.0, 61.3421666053245, 2.0, 24.0, 0.01472211998527788, 0.0, 0.0, 0.0, 2.0, 24.0, 0.01472211998527788, 10000.0, 15980.6122, 4636.0, 856575.0, 39519.0, 48031.0, 10000, 1.0, 2214912.0, 2213888.0, 2215935.0, 2215935.0, 2215935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GB,wlan,rp,1,1,2,27,a,1000, 167235.0, 59.79609531497593, 1.0, 9.0, 0.005381648578347834, 0.0, 0.0, 0.0, 1.0, 9.0, 0.005381648578347834, 4971.0, 14375.441561054115, 5240.0, 615935.0, 33823.0, 45919.0, 4971, 1.0, 2216960.0, 2215936.0, 2217983.0, 2217983.0, 2217983.0, 5029.0, 18403.872340425532, 4652.0, 854015.0, 34623.0, 448511.0, 5029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GB,wlan,rp,1,1,2,15,e,1000, 1848767.0, 5.409010437767442, 18.0, 76.0, 0.004110847932703256, 0.0, 0.0, 0.0, 18.0, 76.0, 0.004110847932703256,,,,,,,, 1.0, 2214912.0, 2213888.0, 2215935.0, 2215935.0, 2215935.0,,,,,,,, 471.0, 41326.13163481953, 11672.0, 679935.0, 51295.0, 489215.0, 471, 9529.0, 191610.92958337706, 13384.0, 2068479.0, 659967.0, 1069055.0, 9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GB,wlan,rp,1,1,2,21,a,1000, 281282.0, 35.5515105836847, 2.0, 23.0, 0.008176847434247481, 0.0, 0.0, 0.0, 2.0, 23.0, 0.008176847434247481, 5009.0, 21795.454182471552, 5800.0, 1131519.0, 31231.0, 442111.0, 5009, 1.0, 2223104.0, 2222080.0, 2224127.0, 2224127.0, 2224127.0, 4991.0, 33832.06571829293, 5148.0, 1158143.0, 42463.0, 626175.0, 4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GB,wlan,rp,1,1,2,6,c,1000, 149766.0, 66.77082916015651, 1.0, 10.0, 0.006677082916015651, 0.0, 0.0, 0.0, 1.0, 10.0, 0.006677082916015651, 10000.0, 14597.081, 4636.0, 833023.0, 36511.0, 46751.0, 10000, 1.0, 2210816.0, 2209792.0, 2211839.0, 2211839.0, 2211839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GB,wlan,rp,1,1,2,30,a,1000, 173164.0, 57.748723753205056, 1.0, 7.0, 0.0040424106627243534, 0.0, 0.0, 0.0, 1.0, 7.0, 0.0040424106627243534, 4959.0, 15204.996168582375, 4992.0, 717311.0, 32607.0, 47007.0, 4959, 1.0, 2210816.0, 2209792.0, 2211839.0, 2211839.0, 2211839.0, 5041.0, 18574.683594524897, 4484.0, 1244159.0, 34783.0, 431359.0, 5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GB,wlan,rp,1,1,2,11,e,1000, 1255775.0, 7.963209969938882, 17.0, 60.0, 0.00477792598196333, 0.0, 0.0, 0.0, 17.0, 60.0, 0.00477792598196333,,,,,,,, 1.0, 2212864.0, 2211840.0, 2213887.0, 2213887.0, 2213887.0,,,,,,,, 555.0, 27356.922522522524, 9960.0, 790527.0, 31231.0, 414719.0, 555, 9445.0, 130999.87083112758, 12896.0, 1459199.0, 531967.0, 665087.0, 9445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1GB,wlan,rp,1,1,2,25,c,1000, 173363.0, 57.682435121681095, 1.0, 8.0, 0.0046145948097344874, 0.0, 0.0, 0.0, 1.0, 8.0, 0.0046145948097344874, 10000.0, 17023.9608, 4572.0, 1016831.0, 41823.0, 49535.0, 10000, 1.0, 2210816.0, 2209792.0, 2211839.0, 2211839.0, 2211839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
