wl,Throughput(ops/sec),[READ-MODIFY-WRITE]-AverageLatency(us),RunTime(ms),ram,n,t,dbs
c, 1284.2080930794025, 773.205078, 1284.2080930794025,2GB,3,3,1000
c, 502.2853985634638, 2210816.0, 502.2853985634638,2GB,1,4,800
a, 2892.781930526949, 338.52133, 2892.781930526949,2GB,1,3,500
c, 1288.1451997269132, 771.08345, 1288.1451997269132,2GB,3,5,1000
a, 309.13812291331766, 1765.3694874851012, 309.13812291331766,2GB,6,1,800
a, 628.3380458686773, 881.541169451074, 628.3380458686773,2GB,3,3,800
a, 356.6206626011911, 1271.2674561045324, 356.6206626011911,2GB,6,3,1000
f, 226.29042112647372, 2616.949018814485, 226.29042112647372,2GB,6,3,800
c, 2882.990930110534, 342.409353, 2882.990930110534,2GB,1,4,1000
c, 1293.152498887889, 765.190822, 1293.152498887889,2GB,3,5,500
a, 668.8996767542312, 1486.5886325, 668.8996767542312,2GB,6,3,800
a, 284.06669886089253, 2770.089357429719, 284.06669886089253,2GB,6,2,800
f, 413.7360364087712, 1318.5239299610896, 413.7360364087712,2GB,6,5,500
a, 393.49939007594537, 892.9368566904196, 393.49939007594537,2GB,3,4,1000
a, 454.6074464699732, 839.7556634304207, 454.6074464699732,2GB,3,2,1000
c, 2777.5752462494056, 354.81470375, 2777.5752462494056,2GB,1,4,800
f, 420.7160587319618, 1138.6646111000596, 420.7160587319618,2GB,3,1,500
a, 470.1236425179822, 850.9479104773222, 470.1236425179822,2GB,1,1,500
f, 451.9365481086455, 355.508807450901, 451.9365481086455,2GB,1,5,1000
a, 2598.14492452389, 380.409465, 2598.14492452389,2GB,1,1,1000
a, 1109.951828090661, 892.370094, 1109.951828090661,2GB,3,1,500
f, 2818.1417877586964, 349.70824, 2818.1417877586964,2GB,1,2,800
a, 316.7965532535006, 2720.729300643087, 316.7965532535006,2GB,6,3,500
f, 695.3135864274788, 369.3760938743039, 695.3135864274788,2GB,1,1,500
f, 628.6825077893762, 1582.994479, 628.6825077893762,2GB,6,5,1000
a, 2794.6914835270404, 352.69985625, 2794.6914835270404,2GB,1,5,800
a, 395.4601178471151, 1311.508971291866, 395.4601178471151,2GB,6,4,1000
f, 623.0219054501956, 1596.27171, 623.0219054501956,2GB,6,2,800
c, 1307.5014627672615, 758.8505875, 1307.5014627672615,2GB,3,5,800
f, 1304.3353498357842, 761.282009, 1304.3353498357842,2GB,3,4,1000
f, 619.1567085629373, 342.4328327922078, 619.1567085629373,2GB,1,4,500
f, 1300.6133692649453, 763.601208, 1300.6133692649453,2GB,3,3,1000
f, 530.4476978569913, 860.0994897959183, 530.4476978569913,2GB,3,2,500
c, 2825.497287522604, 348.85549875, 2825.497287522604,2GB,1,1,800
f, 627.5346516790474, 1584.20061, 627.5346516790474,2GB,6,5,800
c, 605.8388323304681, 1639.503012, 605.8388323304681,2GB,6,4,500
a, 515.4107823935677, 381.4637192704203, 515.4107823935677,2GB,1,2,1000
c, 575.3408894770151, 2235392.0, 575.3408894770151,2GB,6,3,500
f, 2815.0934047991714, 350.870204, 2815.0934047991714,2GB,1,2,1000
a, 561.5769079575448, 1420.3108539505188, 561.5769079575448,2GB,6,4,500
c, 657.2947391772313, 1513.01781375, 657.2947391772313,2GB,6,2,800
a, 2801.944549517365, 351.810095, 2801.944549517365,2GB,1,3,800
a, 2843.888306286771, 346.46200875, 2843.888306286771,2GB,1,4,800
c, 1297.9890904016952, 764.454035, 1297.9890904016952,2GB,3,1,800
f, 2839.828020015108, 347.749078, 2839.828020015108,2GB,1,5,1000
f, 626.146140943931, 1588.55216625, 626.146140943931,2GB,6,1,800
f, 356.3410896910523, 1420.4691039141665, 356.3410896910523,2GB,6,4,800
a, 674.5817593092282, 920.119712689545, 674.5817593092282,2GB,3,3,500
f, 468.44989928327163, 345.7781536012734, 468.44989928327163,2GB,1,4,800
f, 671.2310377231843, 350.9303303303303, 671.2310377231843,2GB,1,5,500
c, 2855.396985842942, 345.835883, 2855.396985842942,2GB,1,5,1000
f, 2802.3175165862167, 351.7697375, 2802.3175165862167,2GB,1,1,800
c, 495.5401387512388, 2210816.0, 495.5401387512388,2GB,1,3,800
a, 606.3495408039133, 1640.76158875, 606.3495408039133,2GB,6,5,800
a, 1295.6657389699976, 766.398387, 1295.6657389699976,2GB,3,2,1000
a, 608.5660540637911, 1635.306984, 608.5660540637911,2GB,6,5,1000
c, 648.0356419603078, 1534.05478, 648.0356419603078,2GB,6,3,800
a, 504.56632524345326, 365.99568796550375, 504.56632524345326,2GB,1,5,800
c, 695.815781380248, 1426.300052, 695.815781380248,2GB,6,3,500
c, 541.5064710023285, 2210816.0, 541.5064710023285,2GB,1,4,1000
a, 271.458819697052, 2768.788831064852, 271.458819697052,2GB,6,3,800
f, 631.4853545916563, 1573.003124, 631.4853545916563,2GB,6,4,500
a, 1309.1768386979581, 757.8159375, 1309.1768386979581,2GB,3,5,800
f, 2874.0587457607635, 340.837928, 2874.0587457607635,2GB,1,2,500
a, 7.309535435165882, 85.58445807770961, 7.309535435165882,2GB,1,1,2000
a, 1293.9757664218464, 767.519209, 1293.9757664218464,2GB,3,1,1000
a, 693.1447979482914, 903.9691407825736, 693.1447979482914,2GB,3,2,500
a, 1281.8737918339511, 771.948552, 1281.8737918339511,2GB,3,2,500
a, 1292.5039938373409, 765.58203, 1292.5039938373409,2GB,3,5,500
f, 316.3856107824216, 1241.6751758793969, 316.3856107824216,2GB,6,2,1000
f, 170.47101140451068, 3005.5017992802877, 170.47101140451068,2GB,6,5,1000
a, 773.6943907156673, 352.898997995992, 773.6943907156673,2GB,1,3,1000
c, 412.93306355039846, 2216960.0, 412.93306355039846,2GB,3,5,1000
c, 651.3809275664408, 2210816.0, 651.3809275664408,2GB,3,2,800
c, 494.16880806483493, 2208768.0, 494.16880806483493,2GB,1,2,800
c, 1280.1212530850921, 772.777862, 1280.1212530850921,2GB,3,4,500
a, 448.22949350067233, 835.907809983897, 448.22949350067233,2GB,3,5,1000
a,,,,2GB,1,1,500
f, 1293.834715849637, 766.85209375, 1293.834715849637,2GB,3,3,800
f, 1276.9011142239124, 774.758406, 1276.9011142239124,2GB,3,1,500
c, 684.4626967830253, 2212864.0, 684.4626967830253,2GB,3,5,800
f, 2827.8303754227604, 346.505562, 2827.8303754227604,2GB,1,3,500
c, 624.1530048676133, 1593.360535, 624.1530048676133,2GB,6,1,800
a, 629.8895173786518, 1575.257266, 629.8895173786518,2GB,6,4,500
c, 763.0675314765357, 2210816.0, 763.0675314765357,2GB,1,1,800
f, 363.49096724946384, 768.6549919484702, 363.49096724946384,2GB,3,1,1000
a, 2941.020769488674, 332.993128, 2941.020769488674,2GB,1,5,500
a, 1281.5156742182114, 772.066566, 1281.5156742182114,2GB,3,3,500
c, 702.3951675212475, 2208768.0, 702.3951675212475,2GB,1,1,500
f, 605.7302077654613, 358.3656169538522, 605.7302077654613,2GB,1,5,800
f, 355.92255125284737, 916.1967345293288, 355.92255125284737,2GB,3,3,1000
a, 2865.8550565146616, 341.824846, 2865.8550565146616,2GB,1,4,500
a, 2837.3301857883807, 348.018876, 2837.3301857883807,2GB,1,3,1000
c, 2817.155349214577, 347.919506, 2817.155349214577,2GB,1,1,500
c, 576.9341718109964, 2241536.0, 576.9341718109964,2GB,6,2,500
f, 1303.0249724735975, 761.62294625, 1303.0249724735975,2GB,3,5,800
a, 740.8504963698325, 348.76314223368377, 740.8504963698325,2GB,1,3,800
f, 1305.3658695776326, 760.08185125, 1305.3658695776326,2GB,3,1,800
a, 720.876585928489, 367.58895829135605, 720.876585928489,2GB,1,2,800
c, 370.23324694557573, 2237440.0, 370.23324694557573,2GB,6,2,800
a, 2826.1261229435518, 348.8242525, 2826.1261229435518,2GB,1,1,800
c, 579.6765404904064, 2223104.0, 579.6765404904064,2GB,6,4,500
f, 658.1991539508075, 1511.987902, 658.1991539508075,2GB,6,2,1000
a, 808.2767539605561, 355.0774180967239, 808.2767539605561,2GB,1,2,500
f, 2828.2302631951084, 346.433568, 2828.2302631951084,2GB,1,5,500
c, 406.8182742768805, 2235392.0, 406.8182742768805,2GB,6,3,1000
c, 2865.1653200389665, 341.871946, 2865.1653200389665,2GB,1,4,500
a, 2830.70608424889, 348.233465, 2830.70608424889,2GB,1,2,800
a, 713.7758743754462, 885.4044719504891, 713.7758743754462,2GB,3,5,500
f, 228.13341241958298, 424.4697244015289, 228.13341241958298,2GB,1,1,800
c, 1299.925254297878, 763.762143, 1299.925254297878,2GB,3,4,1000
a, 1289.2329708439963, 769.624415, 1289.2329708439963,2GB,3,4,800
c, 2816.9966308720295, 347.773144, 2816.9966308720295,2GB,1,3,500
a, 666.1231102087363, 1491.087508, 666.1231102087363,2GB,6,2,500
c, 281.8807080843387, 2276352.0, 281.8807080843387,2GB,6,5,800
f, 494.58430189425786, 911.9102769971898, 494.58430189425786,2GB,3,5,800
a, 192.28550551859402, 1976.0516180266031, 192.28550551859402,2GB,6,1,500
c, 399.0104540738967, 2229248.0, 399.0104540738967,2GB,6,5,1000
f, 368.82676206985576, 761.6215670436187, 368.82676206985576,2GB,3,4,1000
c, 2845.816507443233, 347.002412, 2845.816507443233,2GB,1,1,1000
a, 646.5549290438294, 1539.096555, 646.5549290438294,2GB,6,1,1000
f, 544.9294316386028, 863.9040597859018, 544.9294316386028,2GB,3,3,500
c, 505.66343042071196, 2208768.0, 505.66343042071196,2GB,1,5,800
c, 347.77770049384435, 2231296.0, 347.77770049384435,2GB,6,1,500
f, 1296.5291913547433, 765.895534, 1296.5291913547433,2GB,3,2,1000
f, 647.1101355566312, 1537.969999, 647.1101355566312,2GB,6,3,1000
c, 1283.0020194451786, 771.366192, 1283.0020194451786,2GB,3,2,500
c, 2850.0685797752008, 345.8291775, 2850.0685797752008,2GB,1,2,800
a, 340.3096818104475, 1384.4802788844622, 340.3096818104475,2GB,6,1,1000
f, 1288.6730791039083, 767.896774, 1288.6730791039083,2GB,3,5,500
f, 652.7415143603133, 341.5733413269385, 652.7415143603133,2GB,1,3,500
f, 344.3526170798898, 1367.1696554503324, 344.3526170798898,2GB,6,5,800
c, 2841.474156792544, 347.483698, 2841.474156792544,2GB,1,2,1000
a, 2895.0347259415375, 341.125732, 2895.0347259415375,2GB,1,5,1000
a, 2951.8029612487308, 331.698938, 2951.8029612487308,2GB,1,2,500
f, 442.90902648595977, 348.0078219013237, 442.90902648595977,2GB,1,3,800
a, 484.8484848484849, 1457.0807192807192, 484.8484848484849,2GB,6,5,800
f, 2894.883871733485, 341.082893, 2894.883871733485,2GB,1,3,1000
c, 1311.5080900376533, 757.276632, 1311.5080900376533,2GB,3,1,1000
c, 292.98877852978234, 2227200.0, 292.98877852978234,2GB,6,2,1000
c, 655.4798112218143, 2212864.0, 655.4798112218143,2GB,3,2,500
a, 487.28194133125425, 375.35353331991143, 487.28194133125425,2GB,1,1,800
c, 491.4004914004914, 2208768.0, 491.4004914004914,2GB,1,5,1000
c, 2898.5003159365347, 337.934714, 2898.5003159365347,2GB,1,5,500
c, 850.9914049868096, 2208768.0, 850.9914049868096,2GB,1,3,500
c, 768.4623069238454, 2208768.0, 768.4623069238454,2GB,1,2,1000
a, 414.524954402255, 833.3800555114988, 414.524954402255,2GB,3,3,1000
