ram,wl,RunTime(s),dbs,ld,nm,Throughput(ops/sec),RunTime(ms),lt,n,rf,t,nt
2GB,c,778.69,1000,True,nodal, 1284.2080930794025, 778690.0,1,3,1,3,vm
2GB,c,19.909,800,False,nodal, 502.2853985634638, 19909.0,1,1,1,4,vm
2GB,a,172.844,500,True,nodal, 2892.781930526949, 172844.0,1,1,1,3,vm
2GB,c,776.31,1000,True,nodal, 1288.1451997269132, 776310.0,1,3,1,5,vm
2GB,a,32.348,800,False,nodal, 309.13812291331766, 32348.0,1,6,1,1,vm
2GB,a,15.915,800,False,nodal, 628.3380458686773, 15915.0,1,3,1,3,vm
2GB,a,28.041,1000,False,nodal, 356.6206626011911, 28041.0,1,6,1,3,vm
2GB,f,44.191,800,False,nodal, 226.29042112647372, 44191.0,1,6,1,3,vm
2GB,c,346.862,1000,True,nodal, 2882.990930110534, 346862.0,1,1,1,4,vm
2GB,c,386.652,500,True,nodal, 1293.152498887889, 386652.0,1,3,1,5,vm
2GB,a,1195.994,800,True,nodal, 668.8996767542312, 1195994.0,1,6,1,3,vm
2GB,a,35.203,800,False,nodal, 284.06669886089253, 35203.0,1,6,1,2,vm
2GB,f,24.17,500,False,nodal, 413.7360364087712, 24170.0,1,6,1,5,vm
2GB,a,25.413,1000,False,nodal, 393.49939007594537, 25413.0,1,3,1,4,vm
2GB,a,21.997,1000,False,nodal, 454.6074464699732, 21997.0,1,3,1,2,vm
2GB,c,288.021,800,True,nodal, 2777.5752462494056, 288021.0,1,1,1,4,vm
2GB,f,23.769,500,False,nodal, 420.7160587319618, 23769.0,1,3,1,1,vm
2GB,a,21.271,500,False,nodal, 470.1236425179822, 21271.0,1,1,1,1,vm
2GB,f,22.127,1000,False,nodal, 451.9365481086455, 22127.0,1,1,1,5,vm
2GB,a,384.89,1000,True,nodal, 2598.14492452389, 384890.0,1,1,1,1,vm
2GB,a,450.47,500,True,nodal, 1109.951828090661, 450470.0,1,3,1,1,vm
2GB,f,283.875,800,True,nodal, 2818.1417877586964, 283875.0,1,1,1,2,vm
