med,row/s,max,sum ms,errors,compaction,.99,.999,total ops,compression,mb,pk/s,.95,max ms,rf,stderr,time,mean,sdv ms,op/s,type,network_type,gc: #,op
150.2,1034,622.3,0,0,none,472.4,575.7,2061,LZ4Compressor,0,1034,378.0,0,none,0.0,2.0,168.8,0,1034,,wireless,0,reads_only
132.8,886,917.0,0,0,none,723.5,802.2,4440,LZ4Compressor,0,886,573.6,0,none,0.03965,4.7,193.6,0,886,,wireless,0,reads_only
87.0,474,1224.7,0,0,none,1017.6,1203.8,5771,LZ4Compressor,0,474,965.2,0,none,0.13268,7.5,437.8,0,474,,wireless,0,reads_only
49.1,1669,1163.9,0,0,none,860.4,957.9,10770,LZ4Compressor,0,1669,628.6,0,none,0.21628,10.5,133.1,0,1669,,wireless,0,reads_only
49.3,2816,429.9,0,0,none,358.6,397.1,16973,LZ4Compressor,0,2816,222.6,0,none,0.22079,12.7,70.8,0,2816,,wireless,0,reads_only
46.0,3504,472.9,0,0,none,195.6,361.5,24578,LZ4Compressor,0,3504,133.2,0,none,0.2195,14.9,57.1,0,3504,,wireless,0,reads_only
47.5,3470,335.8,0,0,none,206.7,271.3,32216,LZ4Compressor,0,3470,138.1,0,none,0.1908,17.1,57.7,0,3470,,wireless,0,reads_only
45.0,3767,288.1,0,0,none,168.8,230.0,40127,LZ4Compressor,0,3767,118.7,0,none,0.16972,19.2,52.6,0,3767,,wireless,0,reads_only
46.0,3744,262.8,0,0,none,182.1,225.1,43573,LZ4Compressor,0,3744,122.2,0,none,0.15955,20.1,54.1,0,3744,,wireless,0,reads_only
47.7,3142,296.5,0,0,none,188.5,241.3,6280,LZ4Compressor,0,3142,133.8,0,none,0.0,2.0,57.2,0,3142,,wireless,0,reads_only
52.4,3278,341.0,0,0,none,203.8,237.8,13595,LZ4Compressor,0,3278,136.4,0,none,0.01684,4.2,60.8,0,3278,,wireless,0,reads_only
57.5,2525,540.5,0,0,none,487.8,536.3,18993,LZ4Compressor,0,2525,228.1,0,none,0.03203,6.4,79.6,0,2525,,wireless,0,reads_only
53.6,3194,310.6,0,0,none,186.1,256.6,25714,LZ4Compressor,0,3194,125.6,0,none,0.02458,8.5,60.8,0,3194,,wireless,0,reads_only
57.6,2918,451.7,0,0,none,255.6,401.3,32190,LZ4Compressor,0,2918,178.0,0,none,0.01968,10.7,70.4,0,2918,,wireless,0,reads_only
51.2,3398,274.7,0,0,none,185.5,244.2,39547,LZ4Compressor,0,3398,139.9,0,none,0.01862,12.9,58.8,0,3398,,wireless,0,reads_only
47.8,3650,299.9,0,0,none,161.0,250.9,47695,LZ4Compressor,0,3650,120.5,0,none,0.02374,15.1,54.5,0,3650,,wireless,0,reads_only
54.3,2857,313.8,0,0,none,245.4,313.5,53972,LZ4Compressor,0,2857,172.8,0,none,0.02532,17.3,68.2,0,2857,,wireless,0,reads_only
51.9,3184,431.8,0,0,none,291.8,366.2,61359,LZ4Compressor,0,3184,147.7,0,none,0.02299,19.6,64.5,0,3184,,wireless,0,reads_only
50.9,3448,210.6,0,0,none,173.8,190.6,62922,LZ4Compressor,0,3448,131.7,0,none,0.06659,20.1,59.9,0,3448,,wireless,0,reads_only
45.6,2951,369.4,0,0,none,205.5,323.2,5897,LZ4Compressor,0,2951,146.9,0,none,0.0,2.0,58.2,0,2951,,wireless,0,reads_only
57.0,3202,253.4,0,0,none,161.2,203.7,13209,LZ4Compressor,0,3202,125.6,0,none,0.00171,4.3,61.3,0,3202,,wireless,0,reads_only
79.6,2214,354.4,0,0,none,274.7,353.1,18002,LZ4Compressor,0,2214,194.0,0,none,0.0797,6.4,90.3,0,2214,,wireless,0,reads_only
55.4,1304,1431.3,0,0,none,1379.9,1427.1,20714,LZ4Compressor,0,1304,1103.1,0,none,0.07847,8.5,147.7,0,1304,,wireless,0,reads_only
65.6,342,2510.3,0,0,none,2277.5,2506.1,22241,LZ4Compressor,0,342,1767.9,0,none,0.18059,13.0,557.8,0,342,,wireless,0,reads_only
59.8,2235,1130.4,0,0,none,756.5,859.3,28316,LZ4Compressor,0,2235,338.4,0,none,0.14959,15.7,99.4,0,2235,,wireless,0,reads_only
55.8,2912,391.1,0,0,none,255.7,351.3,34499,LZ4Compressor,0,2912,153.0,0,none,0.12702,17.8,66.2,0,2912,,wireless,0,reads_only
64.9,2510,442.0,0,0,none,346.6,418.1,39697,LZ4Compressor,0,2510,237.5,0,none,0.11108,19.9,82.7,0,2510,,wireless,0,reads_only
60.4,2366,384.8,0,0,none,240.1,310.1,4733,LZ4Compressor,0,2366,176.7,0,none,0.0,2.0,73.8,0,2366,,wireless,0,reads_only
51.8,3240,306.7,0,0,none,204.1,296.7,12279,LZ4Compressor,0,3240,142.0,0,none,0.08511,4.3,60.8,0,3240,,wireless,0,reads_only
53.3,3288,260.8,0,0,none,189.9,228.2,19194,LZ4Compressor,0,3288,139.7,0,none,0.06376,6.4,62.0,0,3288,,wireless,0,reads_only
63.9,2512,316.7,0,0,none,259.7,311.4,24478,LZ4Compressor,0,2512,201.5,0,none,0.05981,8.5,79.1,0,2512,,wireless,0,reads_only
55.1,2904,308.3,0,0,none,228.3,298.1,30883,LZ4Compressor,0,2904,167.5,0,none,0.04779,10.7,67.8,0,2904,,wireless,0,reads_only
56.0,3228,269.5,0,0,none,199.9,249.4,37893,LZ4Compressor,0,3228,137.8,0,none,0.04194,12.9,63.5,0,3228,,wireless,0,reads_only
49.7,3445,291.5,0,0,none,176.3,211.3,45445,LZ4Compressor,0,3445,129.5,0,none,0.0412,15.1,57.7,0,3445,,wireless,0,reads_only
64.2,2269,472.1,0,0,none,388.5,461.6,50898,LZ4Compressor,0,2269,260.3,0,none,0.04337,17.5,88.4,0,2269,,wireless,0,reads_only
50.9,3017,398.7,0,0,none,262.8,329.5,57424,LZ4Compressor,0,3017,178.3,0,none,0.03923,19.7,66.9,0,3017,,wireless,0,reads_only
50.3,3474,230.8,0,0,none,153.1,193.1,58803,LZ4Compressor,0,3474,121.4,0,none,0.12159,20.1,55.9,0,3474,,wireless,0,reads_only
46.6,3075,369.1,0,0,none,230.9,300.2,6146,LZ4Compressor,0,3075,139.3,0,none,0.0,2.0,58.1,0,3075,,wireless,0,reads_only
45.7,3526,379.3,0,0,none,206.2,268.7,13942,LZ4Compressor,0,3526,140.9,0,none,0.04272,4.2,56.6,0,3526,,wireless,0,reads_only
45.8,3641,298.8,0,0,none,183.6,241.4,21908,LZ4Compressor,0,3641,133.0,0,none,0.03114,6.4,55.6,0,3641,,wireless,0,reads_only
44.1,3540,298.3,0,0,none,205.1,256.5,29967,LZ4Compressor,0,3540,142.9,0,none,0.02337,8.7,55.9,0,3540,,wireless,0,reads_only
44.5,2522,751.8,0,0,none,213.0,705.2,35501,LZ4Compressor,0,2522,147.8,0,none,0.02178,10.9,60.0,0,2522,,wireless,0,reads_only
154.4,521,1285.6,0,0,none,1170.2,1228.9,36778,LZ4Compressor,0,521,1056.4,0,none,0.12778,13.3,410.7,0,521,,wireless,0,reads_only
65.8,616,1125.1,0,0,none,996.1,1036.5,38631,LZ4Compressor,0,616,925.4,0,none,0.16203,16.3,361.5,0,616,,wireless,0,reads_only
46.0,3590,517.5,0,0,none,210.9,352.3,46405,LZ4Compressor,0,3590,131.1,0,none,0.14396,18.5,56.6,0,3590,,wireless,0,reads_only
64.9,2728,310.4,0,0,none,229.4,301.2,50645,LZ4Compressor,0,2728,164.0,0,none,0.12781,20.0,73.3,0,2728,,wireless,0,reads_only
