med,row/s,max,sum ms,errors,compaction,.99,.999,total ops,compression,mb,pk/s,.95,max ms,rf,stderr,time,mean,sdv ms,op/s,type,network_type,gc: #,op
36.9,835,1404.0,0,0,none,900.2,1390.4,3332,none,0,835,658.5,0,none,0.0,4.0,206.9,0,835,,wired,0,reads_only
19.2,925,1248.9,0,0,none,861.9,1065.4,7770,none,0,925,694.7,0,none,0.01089,8.8,216.8,0,925,,wired,0,reads_only
11.6,1088,1221.6,0,0,none,863.0,1048.6,13022,none,0,1088,630.7,0,none,0.03904,13.6,185.9,0,1088,,wired,0,reads_only
9.1,1203,2130.7,0,0,none,890.8,1930.4,18470,none,0,1203,596.1,0,none,0.13245,18.1,169.3,0,1203,,wired,0,reads_only
10.8,1199,1036.0,0,0,none,730.3,995.6,24320,none,0,1199,576.7,0,none,0.10671,23.0,167.2,0,1199,,wired,0,reads_only
9.4,1283,988.3,0,0,none,713.6,915.4,30170,none,0,1283,548.4,0,none,0.08851,27.6,152.8,0,1283,,wired,0,reads_only
14.7,1312,904.9,0,0,none,672.1,855.6,33652,none,0,1312,529.5,0,none,0.08059,30.2,161.1,0,1312,,wired,0,reads_only
134.9,1006,1735.4,0,0,none,949.5,1637.9,4024,none,0,1006,681.6,0,none,0.0,4.0,185.5,0,1006,,wired,0,writes_only
279.2,680,1152.4,0,0,none,632.3,993.5,7459,none,0,680,475.8,0,none,0.23833,9.1,293.9,0,680,,wired,0,writes_only
232.1,881,734.5,0,0,none,557.8,670.6,11334,none,0,881,444.6,0,none,0.18065,13.5,231.9,0,881,,wired,0,writes_only
88.2,1618,756.5,0,0,none,485.8,657.5,18612,none,0,1618,333.7,0,none,0.16047,18.0,120.6,0,1618,,wired,0,writes_only
67.9,2612,605.6,0,0,none,232.9,398.7,29696,none,0,2612,169.6,0,none,0.19743,22.2,78.0,0,2612,,wired,0,writes_only
68.4,2554,396.4,0,0,none,227.8,315.1,40559,none,0,2554,172.1,0,none,0.17178,26.4,78.1,0,2554,,wired,0,writes_only
70.9,2633,331.9,0,0,none,196.7,277.9,50068,none,0,2633,153.0,0,none,0.15095,30.1,76.6,0,2633,,wired,0,writes_only
30.9,2818,690.5,0,0,none,431.8,585.1,11280,none,0,2818,210.0,0,replication_1,0.0,4.0,66.9,0,2818,,wired,0,reads_only
25.8,3944,454.3,0,0,none,251.8,360.7,28718,none,0,3944,176.4,0,replication_1,0.08976,8.4,50.9,0,3944,,wired,0,reads_only
25.7,3869,397.9,0,0,none,245.0,321.9,45381,none,0,3869,178.1,0,replication_1,0.06301,12.7,51.8,0,3869,,wired,0,reads_only
27.3,3908,392.7,0,0,none,235.8,342.1,62045,none,0,3908,165.5,0,replication_1,0.04879,17.0,51.3,0,3908,,wired,0,reads_only
33.8,3609,415.0,0,0,none,254.0,347.9,77121,none,0,3609,171.8,0,replication_1,0.03937,21.2,55.3,0,3609,,wired,0,reads_only
28.2,4268,418.6,0,0,none,223.1,314.3,95233,none,0,4268,151.4,0,replication_1,0.03996,25.4,46.8,0,4268,,wired,0,reads_only
27.5,3981,471.1,0,0,none,250.2,374.1,112737,none,0,3981,164.2,0,replication_1,0.035,29.8,50.5,0,3981,,wired,0,reads_only
33.8,4758,243.7,0,0,none,183.5,238.0,113804,none,0,4758,117.3,0,replication_1,-2.17951,30.0,42.7,0,4758,,wired,0,reads_only
66.7,2511,309.1,0,0,none,207.7,272.6,10021,none,0,2511,155.8,0,replication_1,0.0,4.0,75.5,0,2511,,wired,0,writes_only
68.7,2655,343.1,0,0,none,204.2,259.1,21435,none,0,2655,158.9,0,replication_1,0.02069,8.3,75.4,0,2655,,wired,0,writes_only
63.7,2695,366.7,0,0,none,235.3,310.9,32929,none,0,2695,164.8,0,replication_1,0.01941,12.6,74.2,0,2695,,wired,0,writes_only
64.1,2736,324.3,0,0,none,213.0,264.6,44190,none,0,2736,154.7,0,replication_1,0.01692,16.7,72.8,0,2736,,wired,0,writes_only
77.2,2426,401.9,0,0,none,229.0,311.7,54511,none,0,2426,173.7,0,replication_1,0.01875,20.9,83.0,0,2426,,wired,0,writes_only
59.7,2958,430.2,0,0,none,205.9,274.7,66586,none,0,2958,152.3,0,replication_1,0.02863,25.0,67.6,0,2958,,wired,0,writes_only
72.7,2459,396.9,0,0,none,219.3,281.0,76768,none,0,2459,164.0,0,replication_1,0.0264,29.1,80.6,0,2459,,wired,0,writes_only
78.4,2496,304.1,0,0,none,223.2,303.3,79027,none,0,2496,168.4,0,replication_1,0.04057,30.1,82.4,0,2496,,wired,0,writes_only
27.2,3553,382.5,0,0,none,252.6,355.5,14211,none,0,3553,176.6,0,replication_2,0.0,4.0,53.3,0,3553,,wired,0,reads_only
29.1,4046,443.3,0,0,none,229.5,335.3,32084,none,0,4046,159.5,0,replication_2,0.04771,8.4,49.6,0,4046,,wired,0,reads_only
27.4,3723,489.7,0,0,none,257.8,353.1,47860,none,0,3723,183.6,0,replication_2,0.03182,12.7,54.0,0,3723,,wired,0,reads_only
32.0,4026,369.1,0,0,none,218.6,312.0,64471,none,0,4026,157.4,0,replication_2,0.02588,16.8,49.4,0,4026,,wired,0,reads_only
32.1,4177,385.1,0,0,none,215.9,321.9,82104,none,0,4177,144.6,0,replication_2,0.02457,21.0,47.6,0,4177,,wired,0,reads_only
24.6,3886,428.6,0,0,none,248.9,345.0,98420,none,0,3886,177.7,0,replication_2,0.02048,25.2,51.8,0,3886,,wired,0,reads_only
26.5,4044,510.1,0,0,none,240.0,360.4,115484,none,0,4044,163.6,0,replication_2,0.01922,29.4,49.6,0,4044,,wired,0,reads_only
31.6,3882,428.9,0,0,none,210.4,331.6,117972,none,0,3882,154.8,0,replication_2,0.16336,30.1,51.3,0,3882,,wired,0,reads_only
79.0,2067,406.1,0,0,none,248.1,327.4,8257,none,0,2067,181.7,0,replication_2,0.0,4.0,88.7,0,2067,,wired,0,writes_only
66.6,2634,361.5,0,0,none,227.8,326.9,19449,none,0,2634,167.8,0,replication_2,0.07883,8.2,75.9,0,2634,,wired,0,writes_only
63.0,2757,329.3,0,0,none,245.5,279.4,31130,none,0,2757,153.7,0,replication_2,0.06395,12.5,72.1,0,2757,,wired,0,writes_only
63.4,2749,395.3,0,0,none,221.2,278.1,42793,none,0,2749,163.1,0,replication_2,0.05239,16.7,73.0,0,2749,,wired,0,writes_only
71.3,2569,435.9,0,0,none,229.6,302.5,53274,none,0,2569,159.3,0,replication_2,0.04197,20.8,78.0,0,2569,,wired,0,writes_only
57.3,3094,408.9,0,0,none,197.7,260.7,66161,none,0,3094,137.8,0,replication_2,0.04659,25.0,64.3,0,3094,,wired,0,writes_only
66.9,2641,373.0,0,0,none,218.1,282.9,77027,none,0,2641,157.3,0,replication_2,0.03997,29.1,75.4,0,2641,,wired,0,writes_only
72.9,2722,384.3,0,0,none,201.9,267.4,79706,none,0,2722,173.0,0,replication_2,0.06684,30.1,77.6,0,2722,,wired,0,writes_only
31.4,4122,404.0,0,0,none,208.9,301.2,16488,none,0,4122,141.7,0,replication_3,0.0,4.0,46.0,0,4122,,wired,0,reads_only
26.6,3947,408.9,0,0,none,238.0,326.6,33938,none,0,3947,169.7,0,replication_3,0.01868,8.4,51.0,0,3947,,wired,0,reads_only
26.8,3945,480.5,0,0,none,236.3,319.8,50368,none,0,3945,169.3,0,replication_3,0.01247,12.6,50.4,0,3945,,wired,0,reads_only
22.4,3503,484.4,0,0,none,279.7,369.6,65287,none,0,3503,200.8,0,replication_3,0.02731,16.8,57.1,0,3503,,wired,0,reads_only
21.0,3279,462.2,0,0,none,297.8,405.0,79172,none,0,3279,218.8,0,replication_3,0.03585,21.1,61.2,0,3279,,wired,0,reads_only
20.1,3444,426.8,0,0,none,297.8,393.2,93603,none,0,3444,199.8,0,replication_3,0.03323,25.3,58.0,0,3444,,wired,0,reads_only
33.6,3777,517.5,0,0,none,235.1,350.7,110369,none,0,3777,163.6,0,replication_3,0.02866,29.7,52.8,0,3777,,wired,0,reads_only
34.9,3643,315.9,0,0,none,237.9,312.5,111657,none,0,3643,184.9,0,replication_3,0.44398,30.1,58.4,0,3643,,wired,0,reads_only
82.7,2059,340.5,0,0,none,229.6,308.5,8239,none,0,2059,183.2,0,replication_3,0.0,4.0,91.3,0,2059,,wired,0,writes_only
67.8,2643,321.4,0,0,none,212.3,273.7,19555,none,0,2643,156.2,0,replication_3,0.084,8.3,75.7,0,2643,,wired,0,writes_only
62.7,2822,342.9,0,0,none,211.9,264.5,31613,none,0,2822,155.1,0,replication_3,0.07339,12.6,70.8,0,2822,,wired,0,writes_only
70.1,2510,427.3,0,0,none,262.1,367.8,42263,none,0,2510,169.9,0,replication_3,0.05496,16.8,79.4,0,2510,,wired,0,writes_only
72.3,2509,415.5,0,0,none,238.0,347.3,52881,none,0,2509,164.9,0,replication_3,0.04392,21.0,80.1,0,2509,,wired,0,writes_only
59.5,3082,332.4,0,0,none,191.6,255.2,65694,none,0,3082,134.7,0,replication_3,0.04768,25.2,64.5,0,3082,,wired,0,writes_only
76.9,2405,369.9,0,0,none,230.9,332.7,75723,none,0,2405,171.4,0,replication_3,0.04248,29.4,83.2,0,2405,,wired,0,writes_only
67.8,2917,332.1,0,0,none,184.7,244.3,77689,none,0,2917,130.1,0,replication_3,0.11248,30.0,70.9,0,2917,,wired,0,writes_only
32.0,4337,343.9,0,0,none,188.5,250.5,17351,none,0,4337,124.0,0,none,0.0,4.0,44.0,0,4337,,wired,0,reads_only
36.6,3872,362.3,0,0,none,218.6,292.8,34047,none,0,3872,154.9,0,none,0.04074,8.3,51.4,0,3872,,wired,0,reads_only
38.5,3536,423.9,0,0,none,247.6,368.8,48970,none,0,3536,168.7,0,none,0.04512,12.5,56.6,0,3536,,wired,0,reads_only
43.5,3613,393.0,0,0,none,229.1,304.9,63910,none,0,3613,156.1,0,none,0.03791,16.7,55.2,0,3613,,wired,0,reads_only
43.3,3668,537.4,0,0,none,219.8,322.7,79162,none,0,3668,153.1,0,none,0.03035,20.8,54.5,0,3668,,wired,0,reads_only
25.4,2234,737.1,0,0,none,491.5,631.8,88693,none,0,2234,349.4,0,none,0.0642,25.1,88.7,0,2234,,wired,0,reads_only
14.0,2202,744.0,0,0,none,451.7,561.0,98516,none,0,2202,341.0,0,none,0.07411,29.6,89.5,0,2202,,wired,0,reads_only
63.7,1806,632.3,0,0,none,488.1,583.0,99624,none,0,1806,407.4,0,none,-1.81855,30.2,126.2,0,1806,,wired,0,reads_only
97.3,1742,564.7,0,0,none,316.1,407.4,6966,none,0,1742,226.8,0,none,0.0,4.0,107.9,0,1742,,wired,0,writes_only
86.5,2047,540.0,0,0,none,295.2,385.1,16453,none,0,2047,211.3,0,none,0.04706,8.6,98.4,0,2047,,wired,0,writes_only
75.8,2324,359.9,0,0,none,251.3,303.8,26254,none,0,2324,183.9,0,none,0.0528,12.9,85.5,0,2324,,wired,0,writes_only
68.7,2636,318.8,0,0,none,212.2,286.0,37481,none,0,2636,162.3,0,none,0.06185,17.1,76.0,0,2636,,wired,0,writes_only
71.4,2453,376.4,0,0,none,226.5,299.6,47876,none,0,2453,173.1,0,none,0.0519,21.3,81.2,0,2453,,wired,0,writes_only
68.5,2584,331.4,0,0,none,213.6,273.4,59034,none,0,2584,168.4,0,none,0.04635,25.7,77.7,0,2584,,wired,0,writes_only
62.7,2902,349.4,0,0,none,208.4,263.3,70979,none,0,2902,149.4,0,none,0.0499,29.8,69.0,0,2902,,wired,0,writes_only
69.0,2882,227.8,0,0,none,182.6,204.9,71699,none,0,2882,126.6,0,none,0.55048,30.0,71.5,0,2882,,wired,0,writes_only
30.3,3315,537.4,0,0,none,276.0,383.5,13263,none,0,3315,186.5,0,replication_1,0.0,4.0,56.5,0,3315,,wired,0,reads_only
25.9,3574,563.1,0,0,none,279.4,433.8,28721,none,0,3574,187.7,0,replication_1,0.02485,8.3,55.9,0,3574,,wired,0,reads_only
35.4,3743,426.5,0,0,none,247.1,323.0,44874,none,0,3743,165.5,0,replication_1,0.02051,12.6,53.3,0,3743,,wired,0,reads_only
32.7,3901,400.3,0,0,none,226.9,304.9,61291,none,0,3901,159.1,0,replication_1,0.02117,16.9,51.5,0,3901,,wired,0,reads_only
29.2,3891,477.1,0,0,none,241.8,400.6,77463,none,0,3891,162.5,0,replication_1,0.02097,21.0,51.2,0,3891,,wired,0,reads_only
27.7,4074,475.8,0,0,none,240.9,346.8,94958,none,0,4074,160.2,0,replication_1,0.02294,25.3,49.0,0,4074,,wired,0,reads_only
27.4,3990,393.0,0,0,none,236.6,326.1,112123,none,0,3990,162.1,0,replication_1,0.02019,29.6,50.2,0,3990,,wired,0,reads_only
32.6,4518,278.1,0,0,none,177.7,233.8,114153,none,0,4518,124.6,0,replication_1,0.17153,30.1,45.0,0,4518,,wired,0,reads_only
76.2,2234,593.5,0,0,none,258.9,396.4,8939,none,0,2234,182.5,0,replication_1,0.0,4.0,86.5,0,2234,,wired,0,writes_only
78.0,2349,374.3,0,0,none,244.7,333.4,19081,none,0,2349,184.2,0,replication_1,0.00707,8.3,85.2,0,2349,,wired,0,writes_only
68.5,2680,373.8,0,0,none,200.3,259.3,30571,none,0,2680,155.6,0,replication_1,0.03428,12.6,74.2,0,2680,,wired,0,writes_only
65.8,2725,465.3,0,0,none,201.3,287.6,42013,none,0,2725,155.1,0,replication_1,0.03703,16.8,73.1,0,2725,,wired,0,writes_only
71.4,2456,437.0,0,0,none,252.6,324.8,52625,none,0,2456,173.8,0,replication_1,0.03007,21.1,81.9,0,2456,,wired,0,writes_only
62.5,2935,357.6,0,0,none,198.8,288.6,64956,none,0,2935,144.0,0,replication_1,0.03324,25.3,68.5,0,2935,,wired,0,writes_only
75.0,2415,399.2,0,0,none,219.2,294.9,75138,none,0,2415,163.3,0,replication_1,0.03008,29.5,82.0,0,2415,,wired,0,writes_only
96.4,2262,333.2,0,0,none,254.1,327.7,75983,none,0,2262,182.5,0,replication_1,0.41548,29.9,98.8,0,2262,,wired,0,writes_only
33.2,3625,397.7,0,0,none,233.7,318.0,14501,none,0,3625,169.0,0,replication_2,0.0,4.0,53.1,0,3625,,wired,0,reads_only
30.2,3854,510.4,0,0,none,256.0,338.2,30999,none,0,3854,170.3,0,replication_2,0.0295,8.3,51.6,0,3854,,wired,0,reads_only
29.1,3710,475.5,0,0,none,254.0,343.4,47012,none,0,3710,174.9,0,replication_2,0.01981,12.6,54.3,0,3710,,wired,0,reads_only
27.9,3899,410.8,0,0,none,227.8,320.1,63213,none,0,3899,163.7,0,replication_2,0.01631,16.8,51.2,0,3899,,wired,0,reads_only
28.3,3875,455.6,0,0,none,253.6,341.0,79921,none,0,3875,172.4,0,replication_2,0.01377,21.1,51.5,0,3875,,wired,0,reads_only
25.2,3848,442.8,0,0,none,246.2,319.8,96236,none,0,3848,174.1,0,replication_2,0.01159,25.3,52.0,0,3848,,wired,0,reads_only
29.1,3700,447.0,0,0,none,245.4,325.3,112151,none,0,3700,177.5,0,replication_2,0.01072,29.6,54.1,0,3700,,wired,0,reads_only
35.5,3526,288.1,0,0,none,239.9,281.8,113735,none,0,3526,159.9,0,replication_2,0.13281,30.1,57.8,0,3526,,wired,0,reads_only
85.2,1979,508.3,0,0,none,273.9,377.0,7904,none,0,1979,194.5,0,replication_2,0.0,4.0,96.1,0,1979,,wired,0,writes_only
80.3,2290,401.9,0,0,none,261.1,361.5,17652,none,0,2290,181.4,0,replication_2,0.03857,8.3,87.1,0,2290,,wired,0,writes_only
67.3,2558,427.0,0,0,none,237.8,305.9,28203,none,0,2558,178.8,0,replication_2,0.05432,12.4,78.3,0,2558,,wired,0,writes_only
75.6,2405,451.4,0,0,none,227.3,292.8,38190,none,0,2405,172.8,0,replication_2,0.04203,16.5,82.9,0,2405,,wired,0,writes_only
70.3,2578,422.3,0,0,none,232.3,302.8,48958,none,0,2578,167.1,0,replication_2,0.03801,20.7,76.9,0,2578,,wired,0,writes_only
68.6,2698,353.4,0,0,none,204.2,278.9,60258,none,0,2698,160.0,0,replication_2,0.03548,24.9,74.8,0,2698,,wired,0,writes_only
